county,lon,lat,diabetes_pct,obesity_pct
Halifax,-77.6516450517141,36.257829844498,19.4,42.6
Harnett,-78.8699035439401,35.3688284194037,11.8,36.9
Haywood,-82.9820402617006,35.5556752243833,12.4,33.3
Henderson,-82.4800088797413,35.336054724191,12.5,30.3
Hertford,-76.9818607276757,36.3588871196747,18.9,42.5
Hoke,-79.2373149494308,35.0172991021942,13.3,38.5
Hyde,-76.246508754071,35.5192667562167,17.0,41.0
Iredell,-80.8731910815794,35.8070107330188,10.7,32.8
Jackson,-83.140690459055,35.2882917929266,12.1,34.5
Johnston,-78.365753932271,35.5179210737528,11.6,35.1
Jones,-77.3548950478113,35.0214417782855,17.0,40.0
Lee,-79.1714912683052,35.4750989187809,13.5,37.8
Lenoir,-77.6409595927808,35.2387324403638,17.8,42.4
Lincoln,-81.2240721915513,35.4855553677493,11.5,35.0
Macon,-83.4217780844555,35.1506263752147,14.2,35.3
Madison,-82.7057879444013,35.8579929239928,11.6,34.6
Martin,-77.1093472458262,35.8432221253514,17.8,40.4
McDowell,-82.0487203388744,35.6823599984024,13.0,35.2
Mecklenburg,-80.8328001765676,35.2467186870894,10.1,29.7
Mitchell,-82.1631707071333,36.0134689001414,12.8,37.2
Montgomery,-79.9051746925854,35.3323223366211,15.1,38.7
Moore,-79.4810833853778,35.3107524292018,11.5,32.6
Nash,-77.9860103790339,35.9677050225842,15.0,38.4
New Hanover,-77.8842723951621,34.2328162979962,10.6,31.1
Northampton,-77.3963332385957,36.4178811426774,20.3,42.7
Onslow,-77.4275153859824,34.7305699378555,8.6,33.4
Orange,-79.1206058027686,36.0613413706585,9.3,28.0
Pamlico,-76.7287126546537,35.1471252533281,15.2,36.0
Pasquotank,-76.2844399122087,36.2952169111293,13.0,38.3
Pender,-77.9052662106959,34.5249111261759,11.8,36.3
Perquimans,-76.4398245484823,36.2049769828067,15.3,37.3
Person,-78.9717598158032,36.3900143908706,14.9,38.8
Pitt,-77.374678818702,35.5934498276118,12.0,39.0
Polk,-82.170181353608,35.2792484455477,14.1,35.2
Randolph,-79.8059275016308,35.7103579095623,13.2,39.9
Richmond,-79.7480501194479,35.0059731618643,16.4,42.9
Robeson,-79.1037511522453,34.6404234382968,18.4,47.9
Rockingham,-79.7749885459399,36.3960168778977,14.5,37.3
Rowan,-80.5247968376348,35.639349134151,12.7,37.4
Rutherford,-81.9203691777493,35.4025792890745,14.4,38.1
Sampson,-78.3716173368201,34.9921847299645,15.6,41.8
Scotland,-79.4801629069361,34.8409047045285,17.4,45.2
Stanly,-80.2512803776288,35.311751830322,12.7,36.3
Stokes,-80.2396598174591,36.4019024419799,13.2,37.1
Surry,-80.6880595387123,36.4143133430213,13.7,40.9
Swain,-83.4925803630805,35.4868277405668,15.2,40.7
Transylvania,-82.7987373770396,35.2014202945151,12.9,33.7
Tyrrell,-76.2078458813114,35.8180871559222,17.5,41.3
Union,-80.5307553094627,34.9884050314763,10.5,33.4
Vance,-78.4079704512629,36.3651057008362,16.8,42.6
Wake,-78.6503446201168,35.7900594036584,9.5,29.3
Warren,-78.1065171313416,36.3966767382286,20.0,43.9
Washington,-76.5770084500192,35.8231123664106,20.6,43.6
Watauga,-81.6965516146841,36.2310171963868,9.8,33.0
Wayne,-78.0039504800588,35.3637958601789,14.2,39.5
Wilkes,-81.1632504740295,36.2059050717718,13.9,38.0
Wilson,-77.9185488995394,35.7052197078408,16.8,38.4
Yadkin,-80.6651545675768,36.1601990907039,13.3,36.3
Yancey,-82.30769414617,35.8991764909611,13.7,35.6
