,batter_id,batter,age,season,level,bats,throws,bat_speed,bat_to_ball,swing_decision,attack_angle,n_pa
5784,686912,Romero_Maxwell,22,2023,Rk,L,R,2.234300792,0.798669671,-2.377927843,-0.239583333,31
5785,686941,Barrera_Brett,22,2023,A,R,L,-0.513264129,1.065974356,0.165440818,-1.340901823,17
5786,686941,Barrera_Brett,22,2023,A,R,R,-0.513264129,1.516363781,-0.529492430,-1.340901823,102
5787,686948,Baldwin_Drake,22,2023,A+,L,L,1.108759553,0.401937161,-0.112408603,0.177263303,80
5788,686948,Baldwin_Drake,22,2023,A+,L,R,1.108759553,0.506683127,0.628964926,0.177263303,319
5789,686948,Baldwin_Drake,22,2023,AA,L,L,0.905282332,0.978322661,5.925320197,0.082912761,17
5790,686948,Baldwin_Drake,22,2023,AA,L,R,0.905282332,0.913378587,-1.515879356,0.082912761,42
5791,686948,Baldwin_Drake,22,2023,AAA,L,L,0.882894737,1.418912578,3.562369910,-0.070016474,3
5792,686948,Baldwin_Drake,22,2023,AAA,L,R,0.882894737,-1.429916731,1.070395120,-0.070016474,9
5793,686956,Crampton_Adam,22,2023,A,R,L,-1.897347174,0.081069735,0.684891850,0.062999680,66
5794,686956,Crampton_Adam,22,2023,A,R,R,-1.897347174,0.086607673,-0.236408408,0.062999680,345
5795,686958,Torres_Jose,24,2023,AA,R,L,-0.521554341,-0.791278298,0.973640135,0.544340303,97
5796,686958,Torres_Jose,24,2023,AA,R,R,-0.521554341,-0.916171281,-0.211602276,0.544340303,246
5797,686960,Baez_Nate,22,2023,A,R,L,0.340253749,-1.107144554,0.847209403,1.310201471,29
5798,686960,Baez_Nate,22,2023,A,R,R,0.340253749,-0.899897171,0.484970412,1.310201471,93
5799,686960,Baez_Nate,22,2023,Rk,R,L,0.841160950,-1.078265547,10.523164445,1.044117647,3
5800,686960,Baez_Nate,22,2023,Rk,R,R,0.841160950,1.402672702,-6.923309630,1.044117647,9
5801,686976,Ardoin_Silas,23,2023,A+,R,L,-0.513815403,0.649805663,1.054285996,0.232550104,64
5802,686976,Ardoin_Silas,23,2023,A+,R,R,-0.513815403,-0.526284468,1.314934825,0.232550104,195
5803,686976,Ardoin_Silas,23,2023,AA,R,L,-0.770491803,0.670770427,-0.639774777,0.140591204,28
5804,686976,Ardoin_Silas,23,2023,AA,R,R,-0.770491803,-0.729845165,0.384462893,0.140591204,89
5805,686977,Beesley_Bradlee,25,2023,A+,R,L,0.221046443,0.022719291,-0.064066971,-0.026606773,13
5806,686977,Beesley_Bradlee,25,2023,A+,R,R,0.221046443,0.674747798,-0.159415586,-0.026606773,47
5807,686977,Beesley_Bradlee,25,2023,AA,R,L,-0.011536126,-0.135318690,2.175483279,-0.129776496,57
5808,686977,Beesley_Bradlee,25,2023,AA,R,R,-0.011536126,-1.079046147,0.491237752,-0.129776496,211
5809,686977,Beesley_Bradlee,25,2023,Rk,R,L,1.015303430,2.534560180,-14.319200000,-0.132352941,3
5810,686977,Beesley_Bradlee,25,2023,Rk,R,R,1.015303430,0.455033499,-1.768810000,-0.132352941,7
5811,686981,Dixon_Brenden,22,2023,A+,R,L,0.908877131,-0.177814008,-0.137962162,1.089495508,38
5812,686981,Dixon_Brenden,22,2023,A+,R,R,0.908877131,-0.841706522,0.393515141,1.089495508,222
5813,686981,Dixon_Brenden,22,2023,AAA,R,L,0.659210526,-2.832642577,-2.167609890,1.017298188,3
5814,686981,Dixon_Brenden,22,2023,AAA,R,R,0.659210526,-3.499603680,0.517334998,1.017298188,8
5815,686982,McKenzie_Jared,22,2023,A+,L,L,-0.155202822,0.788701962,-1.680201043,-0.548375950,58
5816,686982,McKenzie_Jared,22,2023,A+,L,R,-0.155202822,-0.471783927,-1.827323073,-0.548375950,347
5817,686984,Lee Sang_Marcus,22,2023,A+,L,L,0.197530864,-0.884126677,-1.078244137,0.488251555,52
5818,686984,Lee Sang_Marcus,22,2023,A+,L,R,0.197530864,-0.187487960,-0.411947465,0.488251555,376
5819,686984,Lee Sang_Marcus,22,2023,AA,L,L,-0.035822708,-1.714168411,-2.324926108,0.407354001,15
5820,686984,Lee Sang_Marcus,22,2023,AA,L,R,-0.035822708,-0.164769413,-1.270101306,0.407354001,84
5821,686989,Free_James,25,2023,AA,S,L,-0.673345477,0.039612014,0.506903236,3.111031002,124
5822,686989,Free_James,25,2023,AA,S,R,0.200971463,0.171400932,1.241895698,0.843547224,366
5823,687005,Strahm_Kellen,26,2023,AA,R,L,-0.454766242,0.310751322,1.533703538,-0.295602019,97
5824,687005,Strahm_Kellen,26,2023,AA,R,R,-0.454766242,0.118748377,1.272732140,-0.295602019,413
5825,687012,Aguilar_Tayler,23,2023,A,L,L,1.199538639,-1.992856301,-1.958660511,0.405180684,83
5826,687012,Aguilar_Tayler,23,2023,A,L,R,1.199538639,-1.788315431,-0.496406001,0.405180684,217
5827,687013,Uhl_Cooper,25,2023,A,R,L,-2.762399077,-1.489170801,0.791866848,0.692996482,35
5828,687013,Uhl_Cooper,25,2023,A,R,R,-2.762399077,0.385962929,1.148495815,0.692996482,129
5829,687013,Uhl_Cooper,25,2023,A+,R,L,-3.135802469,-1.248141597,-0.808340944,0.633379406,7
5830,687013,Uhl_Cooper,25,2023,A+,R,R,-3.135802469,-2.209806438,-0.435877429,0.633379406,10
