play_id,game_pk,pitcher_id,pitcher_name,is_strike,bats,throws,location_x,location_z
66fa6054-6d40-43a3-a682-60db1c99c709,716541,592836,Walker_Taijuan,1,L,R,-0.628,2.657
ed1ea671-cb9f-4a69-91be-38428137adbb,718586,592836,Walker_Taijuan,0,R,R,0.466,1.472
624b07df-f547-466a-afcf-39e87af1f016,717806,592836,Walker_Taijuan,0,R,R,0.233,0.967
3a9c8059-b3e9-433c-b070-aef2fbb5b414,718652,592836,Walker_Taijuan,0,R,R,-0.513,3.765
382075a2-d5c4-455c-bc7d-42b82beda2a8,716817,592836,Walker_Taijuan,0,R,R,0.296,1.3
eb687cbf-7c88-424f-b036-46a4c97564ae,717028,592836,Walker_Taijuan,1,L,R,-0.348,3.018
f2ee77d9-1304-44bb-be32-bd4e25122318,717113,592836,Walker_Taijuan,0,L,R,-1.942,1.59
14d62bab-a97e-4136-8e2b-96d692b1e1a4,716817,592836,Walker_Taijuan,0,L,R,0.072,0.25
ad386ff4-0da3-4139-9058-cc0be8da8da6,716899,592836,Walker_Taijuan,0,R,R,1.343,2.055
dcb82217-bc36-44d5-932e-f9a4829c566b,716481,592836,Walker_Taijuan,0,L,R,-0.551,3.139
8394226d-a0f1-4865-b6f9-abcccc2ff6cd,718143,592836,Walker_Taijuan,0,L,R,-1.252,1.828
35093462-cd66-4446-abb8-70badb824155,718652,592836,Walker_Taijuan,1,R,R,-0.832,2.517
96f1d31a-1720-4d4b-85f6-639338cb3e45,716817,592836,Walker_Taijuan,0,L,R,-1.132,3.716
3c080165-d9d5-4770-9235-ba7f99165e53,716899,592836,Walker_Taijuan,0,L,R,-1.017,3.332
8ba32279-3531-4f3e-84e6-a7e34230f25e,718586,592836,Walker_Taijuan,0,L,R,1.021,3.69
290f42ae-e74e-43da-922b-bde09cc3516a,717664,592836,Walker_Taijuan,0,L,R,-0.162,4.893
099fc9bd-83e5-4e15-b4e8-98fa3df70983,717028,592836,Walker_Taijuan,0,R,R,1.683,0.814
45298431-cf8c-4049-bed0-c112e87a21cd,718019,592836,Walker_Taijuan,0,R,R,1.192,1.568
867a3e86-b27d-4396-8d5c-c8a35640592e,718270,592836,Walker_Taijuan,0,L,R,0.936,3.476
a4ccf72b-a50d-4301-b58f-1a9cd803b6d7,716720,592836,Walker_Taijuan,1,R,R,-0.255,3.292
644c2c62-f08c-4999-9837-1377b642787d,718586,592836,Walker_Taijuan,0,L,R,0.648,1.075
dab02bc6-67e5-46cf-819e-9ba90ebd1896,716541,592836,Walker_Taijuan,1,L,R,-0.533,2.506
